Date,Open,High,Low,Close,Volume,Change
2019-06-12,259000,260500,257000,258000,68267,-0.0038610038610038533
2019-06-13,258500,258500,256000,258000,86722,0.0
2019-06-14,257500,258000,246500,248000,207867,-0.03875968992248058
2019-06-17,249000,249500,245000,248500,102600,0.002016129032258007
2019-06-18,247000,253500,247000,252000,105327,0.014084507042253502
2019-06-19,256000,262000,254500,259000,133064,0.02777777777777768
2019-06-20,257500,259500,255000,256000,60764,-0.01158301158301156
2019-06-21,256000,258000,254500,255000,76448,-0.00390625
2019-06-24,257500,257500,252000,254000,52357,-0.0039215686274509665
2019-06-25,254000,262000,254000,257000,122563,0.011811023622047223
2019-06-26,256500,259000,254500,255500,46898,-0.005836575875486361
2019-06-27,255500,258500,254000,258500,54285,0.011741682974559797
2019-06-28,257500,257500,252500,252500,70692,-0.023210831721469982
2019-07-01,257000,261500,255000,256000,86010,0.013861386138613874
2019-07-02,256000,261500,255000,260500,87625,0.017578125
2019-07-03,267000,274500,266000,268500,260851,0.030710172744721653
2019-07-04,270000,271000,265500,270500,89960,0.007448789571694592
2019-07-05,270500,272000,265500,267500,105027,-0.011090573012939031
2019-07-08,265500,265500,256500,257500,110626,-0.03738317757009346
2019-07-09,256000,257500,248500,250000,200763,-0.029126213592232997
2019-07-10,248500,251000,245000,248500,120786,-0.006000000000000005
2019-07-11,249000,251500,241500,242000,298712,-0.026156941649899346
2019-07-12,243000,244500,238500,239500,186202,-0.010330578512396715
2019-07-15,239500,247500,235000,245500,226872,0.025052192066805867
2019-07-16,246000,252500,244500,251500,164018,0.024439918533604832
2019-07-17,251500,253000,249500,252500,88687,0.003976143141153132
2019-07-18,248500,252000,242000,243500,125745,-0.035643564356435675
2019-07-19,243500,248000,242500,247000,106455,0.014373716632443578
2019-07-22,248000,248000,244500,246500,67387,-0.002024291497975672
2019-07-23,247000,251000,246500,249500,88801,0.012170385395537497
2019-07-24,250000,251500,245500,246500,56119,-0.012024048096192397
2019-07-25,245000,246000,238500,242000,80429,-0.018255578093306246
2019-07-26,236500,239500,235000,235500,117052,-0.02685950413223137
2019-07-29,236000,237000,232000,232500,84298,-0.01273885350318471
2019-07-30,230000,233500,230000,231500,79020,-0.004301075268817178
2019-07-31,232000,236000,231000,233000,83155,0.00647948164146861
2019-08-01,240000,241500,231000,231500,119847,-0.006437768240343367
2019-08-02,225500,230500,224500,227500,109280,-0.017278617710583144
2019-08-05,227000,227500,216500,217000,199012,-0.0461538461538461
2019-08-06,207500,225500,207500,217000,250589,0.0
2019-08-07,218000,224500,218000,221000,114731,0.018433179723502224
2019-08-08,223500,226000,220000,222000,116288,0.004524886877828038
2019-08-09,224500,224500,221000,221000,52436,-0.0045045045045044585
2019-08-12,220000,227000,219000,222500,62402,0.006787330316742057
2019-08-13,222000,224000,220500,221000,58587,-0.006741573033707815
2019-08-14,225000,228000,223000,226500,77228,0.02488687782805421
2019-08-16,224500,226000,219500,221500,76334,-0.02207505518763797
2019-08-19,223000,230000,221000,228500,72687,0.03160270880361171
2019-08-20,227500,232000,227000,229000,79518,0.002188183807439792
2019-08-21,229500,233000,227000,228000,69161,-0.004366812227074246
2019-08-22,228500,229000,223000,224000,84106,-0.01754385964912286
2019-08-23,224000,230000,222000,227500,79754,0.015625
2019-08-26,223000,224500,217000,217000,123804,-0.0461538461538461
2019-08-27,219000,222500,218500,219500,105647,0.011520737327188835
2019-08-28,219000,221000,216500,220000,68738,0.002277904328018332
2019-08-29,220000,223000,218000,220000,74767,0.0
2019-08-30,222000,226000,222000,225000,99246,0.022727272727272707
2019-09-02,221000,224000,219000,220500,88765,-0.020000000000000018
2019-09-03,220500,222500,217500,220000,93458,-0.0022675736961451642
2019-09-04,220000,223000,218500,223000,82123,0.013636363636363669
2019-09-05,223500,237500,221000,235000,244799,0.053811659192825045
2019-09-06,234500,236000,229000,229000,106904,-0.025531914893617058
2019-09-09,230500,238500,230000,234500,142054,0.024017467248908186
2019-09-10,235000,245000,235000,244000,209719,0.04051172707889128
2019-09-11,244000,248500,242000,243500,189550,-0.002049180327868827
2019-09-16,244000,251500,234500,249500,244213,0.024640657084188833
2019-09-17,247000,253000,245500,252500,158989,0.012024048096192397
2019-09-18,252500,253500,246500,250500,149568,-0.007920792079207928
2019-09-19,249500,251000,247500,249000,71919,-0.005988023952095856
2019-09-20,248000,252500,247500,251000,113703,0.008032128514056325
2019-09-23,250000,251000,244000,245500,117066,-0.021912350597609542
2019-09-24,245500,248000,243500,246000,80467,0.0020366598778003286
2019-09-25,244000,245000,235500,236000,155164,-0.04065040650406504
2019-09-26,237500,241000,235500,237000,81970,0.004237288135593209
2019-09-27,237500,238000,233500,235500,50056,-0.006329113924050667
2019-09-30,233000,237500,232500,236000,73647,0.002123142250530785
2019-10-01,235000,243000,234500,239000,64211,0.012711864406779627
2019-10-02,237500,237500,232000,232000,76239,-0.029288702928870314
2019-10-04,232000,234000,230000,230000,52960,-0.008620689655172376
2019-10-07,230000,235000,229500,231000,88556,0.004347826086956497
2019-10-08,229500,233000,229000,232000,82612,0.0043290043290042934
2019-10-10,230000,235500,227000,232000,120685,0.0
2019-10-11,236500,242000,236000,240000,113087,0.034482758620689724
2019-10-14,244500,250000,243500,246500,181604,0.027083333333333348
